question,answer
aku capek,Istirahat dulu ya.|Kayaknya kamu butuh rehat.
aku bisa kok,Kedengerannya kamu pede.|Percaya diri itu penting.
aku yakin sama diri sendiri,Itu tanda kamu berkembang.|Bagus.
aku sanggup,Kamu keliatan siap.|Jalanin pelan-pelan.
aku merasa kuat sekarang,Kepercayaan diri kamu kerasa.|Terus maju.
masa iya aku nggak kuat,Kamu tau kemampuan kamu.|Percaya itu.
aku mampu,Kedengerannya kamu siap.|Lanjutkan.
gue kuat sekarang,Kamu lagi di mode yakin.|Manfaatin momentumnya.
aku nggak selemah itu,Kamu tau nilai diri kamu.|Itu bagus.
aku cemas,Aku paham rasa cemas itu nggak enak.|Tarik napas dulu ya.
aku lagi takut,Kedengerannya kamu lagi khawatir.|Ada apa?
aku overthinking,Overthinking itu capek ya.|Pelan-pelan aja.
pikiran aku kemana mana,Kayaknya kamu lagi gelisah.|Coba tenang dulu.
aku kepikiran terus,Kamu lagi ngerasa nggak aman ya.|Aku temenin.
aku khawatir banget,Kekhawatiran itu berat.|Ceritain aja.
aku takut gagal,Rasa takut itu manusiawi.|Kamu nggak sendirian.
aku gelisah,Kedengerannya kamu lagi nggak tenang.|Tarik napas dulu.
aku panik sedikit,Nggak apa-apa.|Pelan-pelan ya.
aku ngerasa waswas,Kamu lagi mikir terlalu jauh.|Tenang dulu.
aku bingung,Ada banyak hal di kepala kamu ya.|Pelan-pelan.
aku nggak tau harus gimana,Kamu lagi ragu ya.|Kita urai bareng.
aku galau,Kedengerannya kamu lagi di persimpangan.|Ceritain.
aku ragu,Ragu itu wajar.|Nggak perlu buru-buru.
aku bimbang,Kamu lagi mikir keras.|Ambil waktu dulu.
aku ga yakin sama pilihan ini,Kamu lagi mikir masa depan.|Tenang ya.
aku stuck,Kedengerannya kamu mentok.|Pelan-pelan cari jalan.
aku kebingungan,Kepala kamu penuh ya.|Tarik napas dulu.
aku gak yakin,Kamu lagi cari pegangan.|Aku dengerin.
aku mikir keras banget,Itu melelahkan ya.|Jangan sendirian.
aku bosan,Bosan itu manusiawi.|Butuh suasana baru mungkin.
aku jenuh banget,Kedengerannya kamu capek rutinitas.|Istirahat dulu.
hidup gini gini aja ya,Kadang emang ngerasa gitu.|Pelan-pelan.
aku ngerasa hambar,Kamu lagi kosong ya.|Nggak apa-apa.
aku bosen sama semuanya,Kedengerannya kamu jenuh.|Coba rehat.
hari hari rasanya sama aja,Rutinitas emang bikin capek.|Wajar.
aku ngerasa datar aja,Kamu lagi nggak berasa apa-apa.|Itu juga perasaan.
aku pengen suasana baru,Kamu butuh perubahan ya.|Pelan-pelan aja.
aku capek sama rutinitas,Kedengerannya monoton.|Cari jeda dulu.
aku ngerasa stuck disini,Kamu lagi jenuh ya.|Nggak sendirian.
lagi apa,Aku lagi di sini.|Kamu gimana?
lagi ngapain,Aku standby.|Ada cerita apa?
ngobrol yuk,Boleh.|Mau bahas apa?
halo,Halo juga.|Apa kabar?
hai,Hai.|Lagi ngapain?
lagi santai nih,Asik.|Santai aja.
gabut banget,Kita ngobrol aja.|Tentang apa?
aku cuma pengen ngobrol,Nggak apa-apa.|Aku temenin.
iseng aja,Aku nangkep.|Ada yang mau diceritain?
aku pengen ditemenin ngobrol,Aku di sini.|Tenang.
wkwk,Wkwk.|Kenapa tuh?
haha,Haha.|Lucu juga.
lol,Lol.|Ada yang kocak?
ngakak,Wkwk parah.|Ada cerita?
receh banget,Justru itu lucunya.|Lanjut.
ketawa sendiri nih,Kayaknya lucu banget.|Kenapa?
kok bisa sih,Wkwk.|Aneh ya?
random banget,Kadang emang gitu.|Santai aja.
nggak jelas deh,Wkwk.|Santai bro.
kok lucu,Wkwk.|Aku kebayang.
aku capek hidup,Kedengerannya berat banget.|Aku dengerin.
hidup aku berantakan,Kamu lagi ngerasa kewalahan.|Pelan-pelan ya.
aku ngerasa kosong banget,Kosong itu capek.|Kamu nggak sendirian.
aku ngerasa nggak berguna,Kamu berharga.|Perasaan itu valid.
aku capek sama semuanya,Kamu udah terlalu banyak nahan.|Istirahat dulu.
aku pengen nyerah,Kedengerannya kamu lagi di titik berat.|Aku temenin.
aku ngerasa sendirian banget,Aku ada di sini.|Kamu nggak sendiri.
aku kehilangan arah,Kamu lagi bingung hidup.|Pelan-pelan cari arah.
aku ngerasa hancur,Kedengerannya sakit.|Aku di sini.
aku capek mental banget,Capek mental itu nyata.|Jangan remehkan.
cape seharian,Capek itu wajar|Tarik napas dulu
haha,Lah iya|Aneh tapi yaudah
aku down,Aku dengerin kamu|Nggak apa-apa ngerasa gini
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
apa itu fotosintesis,Itu proses ilmiah|Aku jelasin singkat ya
aku kecapekan,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu ai,Itu proses ilmiah|Aku jelasin singkat ya
aku down,Perasaan kamu valid|Pelan-pelan ya
capek banget,Capek itu wajar|Tarik napas dulu
random anjir,Lah iya|Aneh tapi yaudah
haha,Wkwk|Aku juga bingung
siapa einstein,Ini topik menarik|Aku coba jelasin pelan
siapa einstein,Ini topik menarik|Aku coba jelasin pelan
capek banget,Capek itu wajar|Tarik napas dulu
ga jelas,Wkwk|Aku juga bingung
pengen nangis,Kedengerannya berat|Aku temenin
cape seharian,Capek itu wajar|Tarik napas dulu
ngakak,Wkwk|Aku juga bingung
receh banget,Wkwk|Aku juga bingung
receh banget,Lah iya|Aneh tapi yaudah
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
wkwk,Haha|Nggak ngerti tapi lucu
apa itu fotosintesis,Ada penjelasan sainsnya|Mau versi gampang atau detail
hati berat,Kedengerannya berat|Aku temenin
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
wkwk,Haha|Nggak ngerti tapi lucu
aku down,Perasaan kamu valid|Pelan-pelan ya
capek banget,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu fotosintesis,Itu proses ilmiah|Aku jelasin singkat ya
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
capek banget,Capek itu wajar|Tarik napas dulu
lol,Haha|Nggak ngerti tapi lucu
kenapa langit biru,Itu proses ilmiah|Aku jelasin singkat ya
ngerasa gagal,Aku dengerin kamu|Nggak apa-apa ngerasa gini
badan pegel,Capek itu wajar|Tarik napas dulu
aku sedih,Aku dengerin kamu|Nggak apa-apa ngerasa gini
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu fotosintesis,Ada penjelasan sainsnya|Mau versi gampang atau detail
kepala berat,Capek itu wajar|Tarik napas dulu
ga jelas,Haha|Nggak ngerti tapi lucu
cape seharian,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu fotosintesis,Itu proses ilmiah|Aku jelasin singkat ya
hati berat,Aku dengerin kamu|Nggak apa-apa ngerasa gini
lol,Haha|Nggak ngerti tapi lucu
capek banget,Capek itu wajar|Tarik napas dulu
badan pegel,Capek itu wajar|Tarik napas dulu
capek mental,Capek itu wajar|Tarik napas dulu
kosong banget,Perasaan kamu valid|Pelan-pelan ya
apa itu fotosintesis,Ada penjelasan sainsnya|Mau versi gampang atau detail
capek banget,Istirahat dulu ya|Tubuh kamu butuh jeda
kosong banget,Perasaan kamu valid|Pelan-pelan ya
kepala berat,Istirahat dulu ya|Tubuh kamu butuh jeda
kenapa manusia butuh tidur,Itu proses ilmiah|Aku jelasin singkat ya
wkwk,Haha|Nggak ngerti tapi lucu
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
kosong banget,Perasaan kamu valid|Pelan-pelan ya
ngakak,Wkwk|Aku juga bingung
aku kecapekan,Istirahat dulu ya|Tubuh kamu butuh jeda
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
receh banget,Wkwk|Aku juga bingung
aku capek,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu fotosintesis,Itu proses ilmiah|Aku jelasin singkat ya
badan pegel,Capek itu wajar|Tarik napas dulu
aku sedih,Kedengerannya berat|Aku temenin
kenapa manusia butuh tidur,Ada penjelasan sainsnya|Mau versi gampang atau detail
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
kenapa manusia butuh tidur,Ada penjelasan sainsnya|Mau versi gampang atau detail
pengen nangis,Perasaan kamu valid|Pelan-pelan ya
siapa einstein,Ini topik menarik|Aku coba jelasin pelan
aku sedih,Aku dengerin kamu|Nggak apa-apa ngerasa gini
apa itu ai,Ini topik menarik|Aku coba jelasin pelan
ngerasa gagal,Kedengerannya berat|Aku temenin
energi habis,Istirahat dulu ya|Tubuh kamu butuh jeda
aku down,Kedengerannya berat|Aku temenin
receh banget,Lah iya|Aneh tapi yaudah
hati berat,Aku dengerin kamu|Nggak apa-apa ngerasa gini
capek banget,Istirahat dulu ya|Tubuh kamu butuh jeda
siapa einstein,Ini topik menarik|Aku coba jelasin pelan
ngerasa gagal,Aku dengerin kamu|Nggak apa-apa ngerasa gini
apa itu internet,Ada penjelasan sainsnya|Mau versi gampang atau detail
lol,Wkwk|Aku juga bingung
aku sedih,Perasaan kamu valid|Pelan-pelan ya
wkwk,Wkwk|Aku juga bingung
hati berat,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku down,Aku dengerin kamu|Nggak apa-apa ngerasa gini
ngakak,Lah iya|Aneh tapi yaudah
aku sedih,Aku dengerin kamu|Nggak apa-apa ngerasa gini
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
ngerasa gagal,Kedengerannya berat|Aku temenin
ngerasa gagal,Kedengerannya berat|Aku temenin
kenapa manusia butuh tidur,Ini topik menarik|Aku coba jelasin pelan
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
aku sedih,Perasaan kamu valid|Pelan-pelan ya
capek mental,Capek itu wajar|Tarik napas dulu
receh banget,Wkwk|Aku juga bingung
badan pegel,Kayaknya kamu perlu rehat|Jangan dipaksain
aku sedih,Perasaan kamu valid|Pelan-pelan ya
kenapa manusia butuh tidur,Itu proses ilmiah|Aku jelasin singkat ya
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
capek mental,Istirahat dulu ya|Tubuh kamu butuh jeda
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku kecewa,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
aku kecapekan,Kayaknya kamu perlu rehat|Jangan dipaksain
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
ngakak,Haha|Nggak ngerti tapi lucu
kepala berat,Istirahat dulu ya|Tubuh kamu butuh jeda
hati berat,Aku dengerin kamu|Nggak apa-apa ngerasa gini
kepala berat,Istirahat dulu ya|Tubuh kamu butuh jeda
lol,Wkwk|Aku juga bingung
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
random anjir,Haha|Nggak ngerti tapi lucu
haha,Wkwk|Aku juga bingung
aku sedih,Kedengerannya berat|Aku temenin
kepala berat,Istirahat dulu ya|Tubuh kamu butuh jeda
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
kenapa manusia butuh tidur,Itu proses ilmiah|Aku jelasin singkat ya
energi habis,Capek itu wajar|Tarik napas dulu
receh banget,Wkwk|Aku juga bingung
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
random anjir,Haha|Nggak ngerti tapi lucu
aku sedih,Kedengerannya berat|Aku temenin
aku sedih,Perasaan kamu valid|Pelan-pelan ya
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
aku kecapekan,Istirahat dulu ya|Tubuh kamu butuh jeda
badan pegel,Capek itu wajar|Tarik napas dulu
siapa einstein,Ini topik menarik|Aku coba jelasin pelan
energi habis,Capek itu wajar|Tarik napas dulu
receh banget,Lah iya|Aneh tapi yaudah
receh banget,Haha|Nggak ngerti tapi lucu
aku down,Kedengerannya berat|Aku temenin
wkwk,Haha|Nggak ngerti tapi lucu
ngerasa gagal,Kedengerannya berat|Aku temenin
random anjir,Haha|Nggak ngerti tapi lucu
capek mental,Istirahat dulu ya|Tubuh kamu butuh jeda
ngakak,Haha|Nggak ngerti tapi lucu
kenapa langit biru,Itu proses ilmiah|Aku jelasin singkat ya
apa itu ai,Itu proses ilmiah|Aku jelasin singkat ya
receh banget,Wkwk|Aku juga bingung
cape seharian,Capek itu wajar|Tarik napas dulu
pengen nangis,Perasaan kamu valid|Pelan-pelan ya
ngakak,Lah iya|Aneh tapi yaudah
aku sedih,Perasaan kamu valid|Pelan-pelan ya
apa itu fotosintesis,Itu proses ilmiah|Aku jelasin singkat ya
apa itu ai,Itu proses ilmiah|Aku jelasin singkat ya
ngerasa gagal,Kedengerannya berat|Aku temenin
ga jelas,Lah iya|Aneh tapi yaudah
apa itu fotosintesis,Ada penjelasan sainsnya|Mau versi gampang atau detail
aku kecapekan,Kayaknya kamu perlu rehat|Jangan dipaksain
random anjir,Haha|Nggak ngerti tapi lucu
capek mental,Capek itu wajar|Tarik napas dulu
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
kenapa langit biru,Ada penjelasan sainsnya|Mau versi gampang atau detail
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
capek mental,Istirahat dulu ya|Tubuh kamu butuh jeda
random anjir,Wkwk|Aku juga bingung
pengen nangis,Perasaan kamu valid|Pelan-pelan ya
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
receh banget,Lah iya|Aneh tapi yaudah
wkwk,Haha|Nggak ngerti tapi lucu
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
aku kecapekan,Istirahat dulu ya|Tubuh kamu butuh jeda
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
kenapa manusia butuh tidur,Itu proses ilmiah|Aku jelasin singkat ya
hati berat,Aku dengerin kamu|Nggak apa-apa ngerasa gini
haha,Lah iya|Aneh tapi yaudah
energi habis,Istirahat dulu ya|Tubuh kamu butuh jeda
hati berat,Aku dengerin kamu|Nggak apa-apa ngerasa gini
ngakak,Wkwk|Aku juga bingung
aku capek,Kayaknya kamu perlu rehat|Jangan dipaksain
apa itu fotosintesis,Itu proses ilmiah|Aku jelasin singkat ya
apa itu internet,Ada penjelasan sainsnya|Mau versi gampang atau detail
cape seharian,Istirahat dulu ya|Tubuh kamu butuh jeda
wkwk,Lah iya|Aneh tapi yaudah
kosong banget,Perasaan kamu valid|Pelan-pelan ya
kosong banget,Kedengerannya berat|Aku temenin
kenapa langit biru,Ada penjelasan sainsnya|Mau versi gampang atau detail
receh banget,Haha|Nggak ngerti tapi lucu
capek banget,Kayaknya kamu perlu rehat|Jangan dipaksain
aku kecewa,Kedengerannya berat|Aku temenin
capek banget,Kayaknya kamu perlu rehat|Jangan dipaksain
kepala berat,Kayaknya kamu perlu rehat|Jangan dipaksain
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
aku down,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku kecapekan,Kayaknya kamu perlu rehat|Jangan dipaksain
receh banget,Haha|Nggak ngerti tapi lucu
ngerasa gagal,Aku dengerin kamu|Nggak apa-apa ngerasa gini
cape seharian,Istirahat dulu ya|Tubuh kamu butuh jeda
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
haha,Haha|Nggak ngerti tapi lucu
aku capek,Istirahat dulu ya|Tubuh kamu butuh jeda
random anjir,Lah iya|Aneh tapi yaudah
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
receh banget,Lah iya|Aneh tapi yaudah
lol,Lah iya|Aneh tapi yaudah
lol,Wkwk|Aku juga bingung
capek banget,Kayaknya kamu perlu rehat|Jangan dipaksain
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
capek mental,Capek itu wajar|Tarik napas dulu
energi habis,Istirahat dulu ya|Tubuh kamu butuh jeda
aku capek,Kayaknya kamu perlu rehat|Jangan dipaksain
energi habis,Kayaknya kamu perlu rehat|Jangan dipaksain
hati berat,Kedengerannya berat|Aku temenin
hati berat,Kedengerannya berat|Aku temenin
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
aku capek,Kayaknya kamu perlu rehat|Jangan dipaksain
energi habis,Capek itu wajar|Tarik napas dulu
wkwk,Wkwk|Aku juga bingung
pengen nangis,Perasaan kamu valid|Pelan-pelan ya
lol,Lah iya|Aneh tapi yaudah
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
aku down,Aku dengerin kamu|Nggak apa-apa ngerasa gini
random anjir,Lah iya|Aneh tapi yaudah
apa itu internet,Ada penjelasan sainsnya|Mau versi gampang atau detail
kepala berat,Capek itu wajar|Tarik napas dulu
ngerasa gagal,Aku dengerin kamu|Nggak apa-apa ngerasa gini
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
aku sedih,Kedengerannya berat|Aku temenin
haha,Lah iya|Aneh tapi yaudah
wkwk,Wkwk|Aku juga bingung
kenapa manusia butuh tidur,Ini topik menarik|Aku coba jelasin pelan
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
hati berat,Kedengerannya berat|Aku temenin
ga jelas,Lah iya|Aneh tapi yaudah
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
ngerasa gagal,Kedengerannya berat|Aku temenin
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
apa itu internet,Ada penjelasan sainsnya|Mau versi gampang atau detail
apa itu internet,Ada penjelasan sainsnya|Mau versi gampang atau detail
aku kecewa,Aku dengerin kamu|Nggak apa-apa ngerasa gini
badan pegel,Kayaknya kamu perlu rehat|Jangan dipaksain
cape seharian,Capek itu wajar|Tarik napas dulu
ga jelas,Lah iya|Aneh tapi yaudah
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
receh banget,Lah iya|Aneh tapi yaudah
receh banget,Lah iya|Aneh tapi yaudah
kosong banget,Kedengerannya berat|Aku temenin
aku kecapekan,Istirahat dulu ya|Tubuh kamu butuh jeda
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
capek banget,Capek itu wajar|Tarik napas dulu
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
apa itu fotosintesis,Itu proses ilmiah|Aku jelasin singkat ya
ga jelas,Lah iya|Aneh tapi yaudah
receh banget,Lah iya|Aneh tapi yaudah
siapa einstein,Ini topik menarik|Aku coba jelasin pelan
ga jelas,Wkwk|Aku juga bingung
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
aku kecewa,Kedengerannya berat|Aku temenin
energi habis,Capek itu wajar|Tarik napas dulu
lol,Wkwk|Aku juga bingung
ga jelas,Haha|Nggak ngerti tapi lucu
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
aku kecewa,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
cape seharian,Istirahat dulu ya|Tubuh kamu butuh jeda
ngerasa gagal,Kedengerannya berat|Aku temenin
aku down,Kedengerannya berat|Aku temenin
aku kecewa,Kedengerannya berat|Aku temenin
badan pegel,Kayaknya kamu perlu rehat|Jangan dipaksain
aku kecewa,Kedengerannya berat|Aku temenin
energi habis,Capek itu wajar|Tarik napas dulu
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
energi habis,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
lol,Wkwk|Aku juga bingung
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
apa itu fotosintesis,Ini topik menarik|Aku coba jelasin pelan
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
capek banget,Istirahat dulu ya|Tubuh kamu butuh jeda
kosong banget,Kedengerannya berat|Aku temenin
receh banget,Lah iya|Aneh tapi yaudah
aku sedih,Aku dengerin kamu|Nggak apa-apa ngerasa gini
ngakak,Wkwk|Aku juga bingung
ngakak,Lah iya|Aneh tapi yaudah
lol,Haha|Nggak ngerti tapi lucu
capek banget,Capek itu wajar|Tarik napas dulu
capek mental,Kayaknya kamu perlu rehat|Jangan dipaksain
aku capek,Capek itu wajar|Tarik napas dulu
kosong banget,Aku dengerin kamu|Nggak apa-apa ngerasa gini
receh banget,Wkwk|Aku juga bingung
random anjir,Haha|Nggak ngerti tapi lucu
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
lol,Lah iya|Aneh tapi yaudah
aku capek,Capek itu wajar|Tarik napas dulu
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
ga jelas,Lah iya|Aneh tapi yaudah
kenapa langit biru,Ada penjelasan sainsnya|Mau versi gampang atau detail
aku kecewa,Kedengerannya berat|Aku temenin
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
capek banget,Capek itu wajar|Tarik napas dulu
aku capek,Kayaknya kamu perlu rehat|Jangan dipaksain
energi habis,Capek itu wajar|Tarik napas dulu
aku capek,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu fotosintesis,Ini topik menarik|Aku coba jelasin pelan
aku capek,Kayaknya kamu perlu rehat|Jangan dipaksain
energi habis,Istirahat dulu ya|Tubuh kamu butuh jeda
ngakak,Lah iya|Aneh tapi yaudah
capek mental,Capek itu wajar|Tarik napas dulu
apa itu fotosintesis,Ada penjelasan sainsnya|Mau versi gampang atau detail
kenapa langit biru,Itu proses ilmiah|Aku jelasin singkat ya
aku down,Perasaan kamu valid|Pelan-pelan ya
pengen nangis,Perasaan kamu valid|Pelan-pelan ya
kenapa langit biru,Ada penjelasan sainsnya|Mau versi gampang atau detail
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
badan pegel,Capek itu wajar|Tarik napas dulu
energi habis,Kayaknya kamu perlu rehat|Jangan dipaksain
aku kecapekan,Capek itu wajar|Tarik napas dulu
kenapa manusia butuh tidur,Ini topik menarik|Aku coba jelasin pelan
badan pegel,Kayaknya kamu perlu rehat|Jangan dipaksain
kosong banget,Kedengerannya berat|Aku temenin
hati berat,Perasaan kamu valid|Pelan-pelan ya
cape seharian,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
aku kecapekan,Capek itu wajar|Tarik napas dulu
capek banget,Istirahat dulu ya|Tubuh kamu butuh jeda
energi habis,Kayaknya kamu perlu rehat|Jangan dipaksain
pengen nangis,Kedengerannya berat|Aku temenin
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
aku sedih,Aku dengerin kamu|Nggak apa-apa ngerasa gini
hati berat,Aku dengerin kamu|Nggak apa-apa ngerasa gini
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku kecapekan,Capek itu wajar|Tarik napas dulu
receh banget,Lah iya|Aneh tapi yaudah
apa itu fotosintesis,Itu proses ilmiah|Aku jelasin singkat ya
kenapa manusia butuh tidur,Ada penjelasan sainsnya|Mau versi gampang atau detail
ngerasa gagal,Aku dengerin kamu|Nggak apa-apa ngerasa gini
